0.013,0.053,0.002,0.04
0.034,0.265,0.032,0.114
0.01,0.053,0.004,0.084
0.072,0.215,0.029,0.101
0.034,0.23,0.01,0.141
0.064,0.382,0.048,0.222
0.05,0.188,0.019,0.075
0.097,0.269,0.058,0.142
0.003,0.04,0,0.042
0.04,0.252,0.038,0.112
0.176,0.141,0.011,0.397
0.04,0.131,0.003,0.366
0.455,0.128,0.028,0.392
0.156,0.115,0.015,0.34
0.101,0.187,0.029,0.409
0.172,0.295,0.026,0.504
0.083,0.34,0.015,0.483
0.015,0.223,0.003,0.289
0.315,0.301,0.057,0.458
0.137,0.411,0.04,0.56
0,0.0060729,0,0.013158
0.075,0.007,0.001,0.05
0.036609,0.28902,0.0086705,0.05684
0,0.075777,0,0.0056943
