0.21529,0.023149,0.022965
0.29033,0.076074,0.17214
0.13679,0.056326,0.041708
0.32819,0.057976,0.12561
0.30826,0.08204,0.078781
0.40106,0.13758,0.18326
0.27025,0.094672,0.10287
0.329,0.091243,0.15281
0.12987,0.029833,0.023415
0.30177,0.09356,0.13434
0.67505,0.013309,0.084758
0.82448,0.019874,0.082073
0.67905,0.014155,0.088213
0.67586,0.012446,0.07287
0.67447,0.050965,0.12462
0.70531,0.075929,0.12776
0.70961,0.075437,0.11663
0.8013,0.12846,0.16269
0.70199,0.081899,0.11262
0.70838,0.093704,0.15413
0.21529,0.023149,0.022965
0.29033,0.076074,0.17214
0.13679,0.176,0.14472
0.08951,0.036905,0.050965
